Period,Draw_Time,Hash_Result,Numbers,Sum,Size,Parity,Category
5000,7/24/2026 12:00,0x00000000,0+1+2,3,Small,Odd,Small Odd
4999,7/24/2026 12:59,0x075bcd15,3+6+9,18,Big,Even,Big Even
4998,7/24/2026 12:58,0x0eb79a2a,6+1+6,13,Small,Odd,Small Odd
4997,7/24/2026 12:57,0x1613673f,9+6+3,18,Big,Even,Big Even
4996,7/24/2026 12:56,0x1d6f3454,2+1+0,3,Small,Odd,Small Odd
4995,7/24/2026 12:55,0x24cb0169,5+6+7,18,Big,Even,Big Even
4994,7/24/2026 12:54,0x2c26ce7e,8+1+4,13,Small,Odd,Small Odd
4993,7/24/2026 12:53,0x33829b93,1+6+1,8,Small,Even,Small Even
4992,7/24/2026 12:52,0x3ade68a8,4+1+8,13,Small,Odd,Small Odd
4991,7/24/2026 12:51,0x423a35bd,7+6+5,18,Big,Even,Big Even
4990,7/24/2026 12:50,0x499602d2,0+1+2,3,Small,Odd,Small Odd
4989,7/24/2026 12:49,0x50f1cfe7,3+6+9,18,Big,Even,Big Even
4988,7/24/2026 12:48,0x584d9cfc,6+1+6,13,Small,Odd,Small Odd
4987,7/24/2026 12:47,0x5fa96a11,9+6+3,18,Big,Even,Big Even
4986,7/24/2026 12:46,0x67053726,2+1+0,3,Small,Odd,Small Odd
4985,7/24/2026 12:45,0x6e61043b,5+6+7,18,Big,Even,Big Even
4984,7/24/2026 12:44,0x75bcd150,8+1+4,13,Small,Odd,Small Odd
4983,7/24/2026 12:43,0x7d189e65,1+6+1,8,Small,Even,Small Even
4982,7/24/2026 12:42,0x84746b7a,4+1+8,13,Small,Odd,Small Odd
4981,7/24/2026 12:41,0x8bd0388f,7+6+5,18,Big,Even,Big Even
4980,7/24/2026 12:40,0x932c05a4,0+1+2,3,Small,Odd,Small Odd
4979,7/24/2026 12:39,0x9a87d2b9,3+6+9,18,Big,Even,Big Even
4978,7/24/2026 12:38,0xa1e39fce,6+1+6,13,Small,Odd,Small Odd
4977,7/24/2026 12:37,0xa93f6ce3,9+6+3,18,Big,Even,Big Even
4976,7/24/2026 12:36,0xb09b39f8,2+1+0,3,Small,Odd,Small Odd
4975,7/24/2026 12:35,0xb7f7070d,5+6+7,18,Big,Even,Big Even
4974,7/24/2026 12:34,0xbf52d422,8+1+4,13,Small,Odd,Small Odd
4973,7/24/2026 12:33,0xc6aea137,1+6+1,8,Small,Even,Small Even
4972,7/24/2026 12:32,0xce0a6e4c,4+1+8,13,Small,Odd,Small Odd
4971,7/24/2026 12:31,0xd5663b61,7+6+5,18,Big,Even,Big Even
4970,7/24/2026 12:30,0xdcc20876,0+1+2,3,Small,Odd,Small Odd
4969,7/24/2026 12:29,0xe41dd58b,3+6+9,18,Big,Even,Big Even
4968,7/24/2026 12:28,0xeb79a2a0,6+1+6,13,Small,Odd,Small Odd
4967,7/24/2026 12:27,0xf2d56fb5,9+6+3,18,Big,Even,Big Even
4966,7/24/2026 12:26,0xfa313cca,2+1+0,3,Small,Odd,Small Odd
4965,7/24/2026 12:25,0x018d09df,5+6+7,18,Big,Even,Big Even
4964,7/24/2026 12:24,0x08e8d6f4,8+1+4,13,Small,Odd,Small Odd
4963,7/24/2026 12:23,0x1044a409,1+6+1,8,Small,Even,Small Even
4962,7/24/2026 12:22,0x17a0711e,4+1+8,13,Small,Odd,Small Odd
4961,7/24/2026 12:21,0x1efc3e33,7+6+5,18,Big,Even,Big Even
4960,7/24/2026 12:20,0x26580b48,0+1+2,3,Small,Odd,Small Odd
4959,7/24/2026 12:19,0x2db3d85d,3+6+9,18,Big,Even,Big Even
4958,7/24/2026 12:18,0x350fa572,6+1+6,13,Small,Odd,Small Odd
4957,7/24/2026 12:17,0x3c6b7287,9+6+3,18,Big,Even,Big Even
4956,7/24/2026 12:16,0x43c73f9c,2+1+0,3,Small,Odd,Small Odd
4955,7/24/2026 12:15,0x4b230cb1,5+6+7,18,Big,Even,Big Even
4954,7/24/2026 12:14,0x527ed9c6,8+1+4,13,Small,Odd,Small Odd
4953,7/24/2026 12:13,0x59daa6db,1+6+1,8,Small,Even,Small Even
4952,7/24/2026 12:12,0x613673f0,4+1+8,13,Small,Odd,Small Odd
4951,7/24/2026 12:11,0x68924105,7+6+5,18,Big,Even,Big Even
